date,time,symbol1,symbol2,daystoexpiration,volume,volatility,delta,openinterest
3/12/2015,0:00:22,BCS,_032015C22                                     ,8,0,111.306,0.028,0
3/12/2015,0:00:22,BCS,_041715C10                                     ,36,0,0,1,0
3/12/2015,0:00:22,BCS,_032015C14                                     ,8,0,33.375,0.937,233
3/12/2015,0:00:22,BCS,_091815C13                                     ,190,0,31.445,0.785,0
3/12/2015,0:00:22,BCS,_041715C22                                     ,36,0,57.497,0.029,0
3/12/2015,0:00:22,BCS,_012017C25                                     ,680,0,25.728,0.083,0
3/12/2015,0:00:22,BCS,_041715C18                                     ,36,0,34.436,0.072,7
3/12/2015,0:00:22,BCS,_061915C8                                      ,99,0,0,1,0
3/12/2015,0:00:22,BCS,_012017C15                                     ,680,0,27.903,0.544,212
3/12/2015,0:00:22,BCS,_061915C21                                     ,99,0,35.33,0.047,0
3/12/2015,0:00:22,BCS,_041715C23                                     ,36,0,61.728,0.024,0
3/12/2015,0:00:22,BCS,_091815C9                                      ,190,0,0,1,0
3/12/2015,0:00:22,BCS,_011516C17                                     ,309,20,26.355,0.337,3584
3/12/2015,0:00:22,BCS,_061915C23                                     ,99,0,43.002,0.04,0
3/12/2015,0:00:22,BCS,_061915C18                                     ,99,0,27.106,0.125,262
3/12/2015,0:00:22,BCS,_012017C12                                     ,680,0,30.632,0.762,162
3/12/2015,0:00:22,BCS,_011516C15                                     ,309,35,28.133,0.545,40098
3/12/2015,0:00:22,BCS,_032015C11                                     ,8,0,0,1,100
3/12/2015,0:00:22,BCS,_041715C12                                     ,36,0,0,1,0
3/12/2015,0:00:22,BCS,_011516C8                                      ,309,0,0,1,4
3/12/2015,0:00:22,BCS,_032015C19                                     ,8,0,82.432,0.06,0
3/12/2015,0:00:22,BCS,_061915C22                                     ,99,0,39.414,0.044,0
3/12/2015,0:00:22,BCS,_061915C16                                     ,99,1,26.556,0.371,1866
3/12/2015,0:00:22,BCS,_091815C17                                     ,190,75,26.22,0.29,415
3/12/2015,0:00:22,BCS,_032015C24                                     ,8,0,131.087,0.023,0
3/12/2015,0:00:22,BCS,_091815C16                                     ,190,3,26.578,0.411,57
3/12/2015,0:00:22,BCS,_091815C19                                     ,190,0,26.647,0.131,0
3/12/2015,0:00:22,BCS,_032015C15                                     ,8,200,27.488,0.643,472
